Parks and Recreation Facilities,Facility Type,Phone Number,URL,Location 1
Stone Hurst,Athletic Field,(510) 238-3523,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"10315 E Street
Oakland, CA
(37.73751689383553, -122.17356959719105)"
Tassafaronga,Athletic Field,(510) 238-3524,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"85th Ave &amp; E - Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Wade Johnson,Athletic Field,(510) 238-3525,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029400,"Poplar at 14th Street
Oakland, CA
(37.81628701903762, -122.2870910606461)"
"Arroyo Viejo, Lucky A's",Tennis Court,(510) 444-5663,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"7921 Olive Street
Oakland, CA
(37.76125655356008, -122.17386978503461)"
Athol Plaza,Tennis Court,(510) 444-5664,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"Foothill Blvd &amp; Lakeshore Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Brookdale,Tennis Court,(510) 444-5665,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"Brookdale Ave &amp; High St
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Brookfield   ,Tennis Court,(510) 444-5666,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"525 Jones Avenue
Oakland, CA
(37.73661414721092, -122.18847843091812)"
Burckhalter,Tennis Court,(510) 444-5667,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"Edwards Ave &amp; I-580
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Bushrod,Tennis Court,(510) 444-5668,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"560 59th Street
Oakland, CA
(37.84481782053176, -122.26347070769017)"
Chabot,Tennis Court,(510) 444-5669,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"Chabot Rd &amp; Golden Gate Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Concordia,Tennis Court,(510) 444-5670,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"Brann Street &amp; 63rd Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Davies Tennis Stadium,Tennis Court,(510) 444-5671,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029401,"198 Oak Road
Oakland, CA
(37.816413106480404, -122.23077492299605)"
deFremery,Tennis Court,(510) 444-5672,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"16th Street &amp; Poplar Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Dimond,Tennis Court,(510) 444-5673,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"Fruitvale Ave &amp; Lyman Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Elmhurst,Tennis Court,(510) 444-5674,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"1800 - 98th Avenue
Oakland, CA
(37.74664352108863, -122.165601647708)"
Montclair,Tennis Court,(510) 444-5675,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"6300 Moraga Avenue
Oakland, CA
(37.828526809031004, -122.21243443299211)"
Mosswood,Tennis Court,(510) 444-5676,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"3612 Webster Street
Oakland, CA
(37.82388635030956, -122.26190991013061)"
San Antonio,Tennis Court,(510) 444-5677,http://www2.oaklandnet.com/Government/o/opr/s/Tennis/index.htm,"1705 E 19th Street
Oakland, CA
(37.790981632928265, -122.23988607688302)"
Lake Merritt Boating Center,Boating Center,(510) 238-2196,http://www2.oaklandnet.com/Government/o/opr/s/boating/OAK029815,"568 Bellevue Avenue
Oakland, CA
(37.80676133380701, -122.25662479804541)"
Jack London Aquatic Center,Boating Center,(510) 238-2196,http://www2.oaklandnet.com/Government/o/opr/s/rental/JackLondonAquaticCenter/OAK029816,"115 Embarcadero
Oakland, CA
(37.790835211317756, -122.26338995983754)"
Discovery Center East,Discovery Center,(510) 535-5657,http://www2.oaklandnet.com/Government/o/opr/s/DiscoveryCenters/index.htm,"2521 High Street
Oakland, CA
(37.78155520226608, -122.205135844116)"
Discovery Center West,Discovery Center,(510) 535-7127,http://www2.oaklandnet.com/Government/o/opr/s/DiscoveryCenters/index.htm,"935 Union Street
Oakland, CA
(37.806531548291225, -122.28963123904853)"
Grove Shafter Dog Play Area,Dog Play Area,,http://www2.oaklandnet.com/Government/o/opr/s/DogPlayAreas/index.htm,"Martin Luther King Jr Way &amp; 36th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Hardy Dog Play Area,Dog Play Area,,http://www2.oaklandnet.com/Government/o/opr/s/Parks/OAK029768,"491 Hardy Street
Oakland, CA
(37.84202012861456, -122.25718721053968)"
Jefferson Dog Play Area,Dog Play Area,,http://www2.oaklandnet.com/Government/o/opr/s/DogPlayAreas/index.htm,"618 Jefferson Street
Oakland, CA
(37.800331412598446, -122.27804291489684)"
Joaquin Miller Dog Play Area,Dog Play Area,,http://www2.oaklandnet.com/Government/o/opr/s/DogPlayAreas/index.htm,"3590 Sanborn Drive
Oakland, CA
(37.810859987420464, -122.19269090980518)"
Mosswood Dog Play Area,Dog Play Area,,http://www2.oaklandnet.com/Government/o/opr/s/DogPlayAreas/index.htm,"3612 Webster Street
Oakland, CA
(37.82388635030956, -122.26190991013061)"
Lake Chabot Golf Course ,Golf Course,(510) 351-5812,http://lakechabotgolf.com/,"11450 Golf Links Road
Oakland, CA
(37.74301921135521, -122.1185362826549)"
Metropolitan Golf Links,Golf Course,(510) 569-5555,http://www.playmetro.com/,"10051 Doolittle Drive
Oakland, CA
(37.720538179372824, -122.19241124244175)"
Montclair Golf Course,Golf Course,(510) 482-0422,http://montclairgolfshop.com/,"2477 Monterey Blvd.
Oakland, CA
(37.8166930941945, -122.20361725586935)"
City Stables,Horse Stable,(510) 482-7812,http://www2.oaklandnet.com/Government/o/opr/s/OaklandCityStables/index.htm,"13560 Skyline Boulevard
Oakland, CA
(37.785297546625436, -122.14429254936397)"
Rotary Nature Center,Nature Center,(510) 238-3739,http://www2.oaklandnet.com/Government/o/opr/s/RotaryNatureCenter/index.htm,"600 Bellevue Avenue
Oakland, CA
(37.80540587564856, -122.25796137383674)"
Allendale,Recreation Center,(510) 535-5635,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029378,"3711 Suter Street
Oakland, CA
(37.789918897138534, -122.20292351192393)"
Arroyo Viejo,Recreation Center,(510) 615-5755,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029379,"7701 Krause Avenue
Oakland, CA
(37.762633466769614, -122.17619566121311)"
Brookdale,Recreation Center,(510) 535-5632,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029380,"2535 High Street
Oakland, CA
(37.78179169684871, -122.20494279765407)"
Bushrod,Recreation Center,(510) 597-5031,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029381,"560 - 59th Street
Oakland, CA
(37.84481782053176, -122.26347070769017)"
Carmen Flores,Recreation Center,(510) 535-5631,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029382,"1637 Fruitvale Avenue
Oakland, CA
(37.78041404360486, -122.22450938852612)"
deFremery,Recreation Center,(510) 238-7739,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029383,"1651 Adeline Street
Oakland, CA
(37.81141714212085, -122.28553500546636)"
Dimond,Recreation Center,(510)482-7831,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029384,"3860 Hanly Road
Oakland, CA
(37.807082984075336, -122.21441669084938)"
East Oakland Sports Center,Recreation Center,(510) 615-5838,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029284,"9161 Edes Avenue
Oakland, CA
(37.73806024377812, -122.18950394621689)"
FM Smith,Recreation Center,(510) 238-7742,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029386,"1969 Park Boulevard
Oakland, CA
(37.80037428039416, -122.24878982067813)"
Franklin,Recreation Center,(510) 238-7741,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029387,"1010 East 15th Street
Oakland, CA
(37.79269463350681, -122.24861559848168)"
Golden Gate,Recreation Center,(510) 597-5032,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029388,"1075 - 62nd Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Ira Jenkins,Recreation Center,(510) 615-5959,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029385,"9175 Edes Avenue
Oakland, CA
(37.73802473854441, -122.18937080159046)"
Lincoln Square,Recreation Center,(510) 238-7738,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029389,"250 - 10th Street
Oakland, CA
(37.79970352081733, -122.26814234548874)"
Manzanita,Recreation Center,(510) 535-5625,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029390,"2701 - 22nd Avenue
Oakland, CA
(37.79419966999802, -122.22765486772965)"
Montclair,Recreation Center,(510) 482-7812,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029391,"6300 Moraga Avenue
Oakland, CA
(37.828526809031004, -122.21243443299211)"
Mosswood,Recreation Center,(510) 597-5038,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029392,"3612 Webster Street
Oakland, CA
(37.82388635030956, -122.26190991013061)"
Rainbow,Recreation Center,(510) 615-5751,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029393,"5800 International Blvd
Oakland, CA
(37.76549331082276, -122.20029749159835)"
Redwood Heights,Recreation Center,(510) 482-7827,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029394,"3883 Aliso Avenue
Oakland, CA
(37.79796608109796, -122.1854229963365)"
San Antonio,Recreation Center,(510) 535-5608,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029395,"1701 East 19th Street
Oakland, CA
(37.79100751139034, -122.23992575719154)"
Sheffield Village,Recreation Center,(510) 638-7190,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029396,"247 Marlow Drive
Oakland, CA
(37.73513219911359, -122.13506067159295)"
Tassafaronga,Recreation Center,(510) 615-5764,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029397,"975 - 85th Avenue
Oakland, CA
(37.75005482329063, -122.18422478088326)"
Willie Keyes,Recreation Center,(510) 597-5042,http://www2.oaklandnet.com/Government/o/opr/s/facility/OAK029398,"3131 Union Street
Oakland, CA
(37.823373676628535, -122.2835117589695)"
25th Street Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/OAK029770,"25th Street
Oakland, CA
(37.7957554971087, -122.23564084734986)"
85th Avenue Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1712 85th Avenue
Oakland, CA
(37.75521221860567, -122.17382484384497)"
88th Avenue Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1722 88th Ave
Oakland, CA
(37.7528398498705, -122.17142026123753)"
Allendale Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3711 Suter Street
Oakland, CA
(37.789918897138534, -122.20292351192393)"
Arroyo Viejo Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"7701 Krause Avenue
Oakland, CA
(37.762633466769614, -122.17619566121311)"
Avenue Terrance Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"4369 Bennett Place
Oakland, CA
(37.80032470133863, -122.19194545231409)"
Ayala Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Ayala @ 57th St
Oakland, CA
(37.84263715449612, -122.25925704383928)"
Beaconsfield Canyon    ,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Beaconsfield Pl
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Beaumont Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Beaumont Avenue &amp; East 38th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Bella Vista Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1025 East 28th Street
Oakland, CA
(37.800360025898726, -122.2371337219185)"
Bertha Port Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Goss/ Wood/8th Street
Oakland, CA
(37.803656041136094, -122.2826304233808)"
Bishop Floyd L. Begin Plaza,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2251 San Pablo Ave
Oakland, CA
(37.81255105155954, -122.27403863769715)"
Burckhalter Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2535 High Street
Oakland, CA
(37.78179169684871, -122.20494279765407)"
Bushrod Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"560 59th Street
Oakland, CA
(37.84481782053176, -122.26347070769017)"
Caldecott Field/North Oakland Regional Sports Center,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"6900 Broadway
Oakland, CA
(37.850484201010566, -122.22239492823022)"
Carney Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"10501 Acalanes Drive
Oakland, CA
(37.732515172008334, -122.17824611543995)"
Carter-Gilmore/Greenman Field,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1390 66th Avenue @Lucille
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Central Reservoir Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2506 East 29th Street
Oakland, CA
(37.79534173771236, -122.22255924638952)"
Cesar Chavez Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Foothill Boulevard
Oakland, CA
(37.775655649753844, -122.21291497966945)"
Chabot Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"6850 Chabot Road
Oakland, CA
(37.85070089659142, -122.24128839206891)"
Channel Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1 10th Street &amp; 21 7th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Chinese Garden Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"7th Street &amp; Harrison Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Clinton Square Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1230 6th Avenue
Oakland, CA
(37.79439275994709, -122.25374163565417)"
Colby Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"61st &amp; Colby Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Coliseum Gardens Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"966 66th Avenue
Oakland, CA
(37.757671831889056, -122.19949429063371)"
Columbian Gardens Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"9920 Empire Road
Oakland, CA
(37.7291602543544, -122.18908606505944)"
Concordia Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2901 64th Avenue
Oakland, CA
(37.77123649879155, -122.1839054142294)"
Cresent Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Chester Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Cypress Freeway Memorial Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"14th and Mandela Parkway
Oakland, CA
(37.810846120760345, -122.29174055553761)"
DeFremery Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1651 Adeline Street
Oakland, CA
(37.81141714212085, -122.28553500546636)"
Dimond Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3860 Hanly Road
Oakland, CA
(37.807082984075336, -122.21441669084938)"
